ID,T_C,P_MPa,phases,dNNO,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,H2O,CO2,Total
0,1200,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
1,1190,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
2,1180,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
3,1170,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
4,1160,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
5,1150,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
6,1140,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
7,1130,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
8,1120,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
9,1110,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
10,1100,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
11,1090,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
12,1080,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
13,1070,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
14,1060,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
15,1050,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
16,1040,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
17,1030,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
18,1020,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
19,1010,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
20,1000,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
21,990,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
22,980,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
23,970,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
24,960,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
25,950,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
26,940,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
27,930,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
28,920,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
29,910,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
30,900,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
31,890,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
32,880,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
33,870,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
34,860,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
35,850,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
36,840,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
37,830,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
38,820,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
39,810,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
40,800,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
41,790,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
42,780,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
43,770,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
44,760,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
45,750,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
46,740,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
47,730,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
48,720,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
49,710,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
50,700,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
51,690,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
52,680,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
53,670,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
54,660,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
55,650,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
56,640,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
57,630,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
58,620,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
59,610,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
60,600,50,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
61,1200,100,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
62,1190,100,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
63,1180,100,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
64,1170,100,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
65,1160,100,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
66,1150,100,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
67,1140,100,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
68,1130,100,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
69,1120,100,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
70,1110,100,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
71,1100,100,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
72,1090,100,Liq;Fsp;Ol;Cpx;Opx;Hbl;SplS;Rhom;Ap;Qz;Bt;Grt;H2O,0,59,0.932914623,17.70942085,0,0,6.599412576,0.128445447,3.09594366,0,0,7.53027293,2.92980816,1.210310547,0.130203142,0.5,0,100
