T_C,P_MPa,H2O
1200,50,0.5
1190,50,0.5
1180,50,0.5
1170,50,0.5
1160,50,0.5
1150,50,0.5
1140,50,0.5
1130,50,0.5
1120,50,0.5
1110,50,0.5
1100,50,0.5
1090,50,0.5
1080,50,0.5
1070,50,0.5
1060,50,0.5
1050,50,0.5
1040,50,0.5
1030,50,0.5
1020,50,0.5
1010,50,0.5
1000,50,0.5
990,50,0.5
980,50,0.5
970,50,0.5
960,50,0.5
950,50,0.5
940,50,0.5
930,50,0.5
920,50,0.5
910,50,0.5
900,50,0.5
890,50,0.5
880,50,0.5
870,50,0.5
860,50,0.5
850,50,0.5
840,50,0.5
830,50,0.5
820,50,0.5
810,50,0.5
800,50,0.5
790,50,0.5
780,50,0.5
770,50,0.5
760,50,0.5
750,50,0.5
740,50,0.5
730,50,0.5
720,50,0.5
710,50,0.5
700,50,0.5
690,50,0.5
680,50,0.5
670,50,0.5
660,50,0.5
650,50,0.5
640,50,0.5
630,50,0.5
620,50,0.5
610,50,0.5
600,50,0.5
1200,100,0.5
1190,100,0.5
1180,100,0.5
1170,100,0.5
1160,100,0.5
1150,100,0.5
1140,100,0.5
1130,100,0.5
1120,100,0.5
1110,100,0.5
1100,100,0.5
1090,100,0.5
1080,100,0.5
1070,100,0.5
1060,100,0.5
1050,100,0.5
1040,100,0.5
1030,100,0.5
1020,100,0.5
1010,100,0.5
1000,100,0.5
990,100,0.5
980,100,0.5
970,100,0.5
960,100,0.5
950,100,0.5
940,100,0.5
930,100,0.5
920,100,0.5
910,100,0.5
900,100,0.5
890,100,0.5
880,100,0.5
870,100,0.5
860,100,0.5
850,100,0.5
840,100,0.5
830,100,0.5
820,100,0.5
810,100,0.5
800,100,0.5
790,100,0.5
780,100,0.5
770,100,0.5
760,100,0.5
750,100,0.5
740,100,0.5
730,100,0.5
720,100,0.5
710,100,0.5
700,100,0.5
690,100,0.5
680,100,0.5
670,100,0.5
660,100,0.5
650,100,0.5
640,100,0.5
630,100,0.5
620,100,0.5
610,100,0.5
600,100,0.5
1200,150,0.5
1190,150,0.5
1180,150,0.5
1170,150,0.5
1160,150,0.5
1150,150,0.5
1140,150,0.5
1130,150,0.5
1120,150,0.5
1110,150,0.5
1100,150,0.5
1090,150,0.5
1080,150,0.5
1070,150,0.5
1060,150,0.5
1050,150,0.5
1040,150,0.5
1030,150,0.5
1020,150,0.5
1010,150,0.5
1000,150,0.5
990,150,0.5
980,150,0.5
970,150,0.5
960,150,0.5
950,150,0.5
940,150,0.5
930,150,0.5
920,150,0.5
910,150,0.5
900,150,0.5
890,150,0.5
880,150,0.5
870,150,0.5
860,150,0.5
850,150,0.5
840,150,0.5
830,150,0.5
820,150,0.5
810,150,0.5
800,150,0.5
790,150,0.5
780,150,0.5
770,150,0.5
760,150,0.5
750,150,0.5
740,150,0.5
730,150,0.5
720,150,0.5
710,150,0.5
700,150,0.5
690,150,0.5
680,150,0.5
670,150,0.5
660,150,0.5
650,150,0.5
640,150,0.5
630,150,0.5
620,150,0.5
610,150,0.5
600,150,0.5
1200,200,0.5
1190,200,0.5
1180,200,0.5
1170,200,0.5
